Destination	Package Type Id	Name	Data	Validity	Price
Aland Islands	a624913b-76b1-4214-b0b4-c0b886605dfa	Unlimited eSIM Data For 1 Days in Aland Islands	Unlimited	1	2.48
Aland Islands	96399c12-a5cb-417b-a521-620ddf2cb5c2	Unlimited Plus eSIM Data For 1 Days in Aland Islands	Unlimited	1	5.52
Aland Islands	c5493fb2-a515-452f-8ee0-2e928e94e4a6	Unlimited eSIM Data For 3 Days in Aland Islands	Unlimited	3	6.33
Aland Islands	3db4fd5e-4ef3-485a-b029-05b18203ee7f	Unlimited eSIM Data For 5 Days in Aland Islands	Unlimited	5	9.42
Aland Islands	591bb793-aa71-427f-bc47-64cfef5cc22c	Unlimited eSIM Data For 7 Days in Aland Islands	Unlimited	7	13.29
Aland Islands	881546d7-76d6-4a97-ba7e-1775ca60d1ef	Unlimited Plus eSIM Data For 3 Days in Aland Islands	Unlimited	3	14.76
Aland Islands	b4ddeab3-b0ef-4de3-8cc2-cc7b9e8513ec	Unlimited eSIM Data For 10 Days in Aland Islands	Unlimited	10	18.16
Aland Islands	b96f0d04-2e2b-45ab-a27c-f43d94375b88	Unlimited Plus eSIM Data For 5 Days in Aland Islands	Unlimited	5	22.18
Aland Islands	364fc77d-bf5b-444b-9902-15e6240dce9a	Unlimited eSIM Data For 15 Days in Aland Islands	Unlimited	15	26.55
Aland Islands	e2e84322-69aa-4a02-acf6-0bd8cc44bf5e	Unlimited Plus eSIM Data For 7 Days in Aland Islands	Unlimited	7	31.48
Aland Islands	db8e702a-7b95-4a1a-b59d-cac1aed07207	Unlimited Plus eSIM Data For 10 Days in Aland Islands	Unlimited	10	43.16
Aland Islands	46aff667-ba94-402c-afb0-c165f298a43d	Unlimited eSIM Data For 30 Days in Aland Islands	Unlimited	30	52.47
Aland Islands	1eebb89a-91fa-4e03-a152-521f1d04e8eb	Unlimited Plus eSIM Data For 15 Days in Aland Islands	Unlimited	15	63.31
Aland Islands	6c0037e3-f2bd-4072-98b9-5438b123f3ee	Unlimited Plus eSIM Data For 30 Days in Aland Islands	Unlimited	30	125.52
Albania	01997010-191a-73ea-867f-02213efb9a03	Unlimited Data For 1Day in Albania, Throttled	Unlimited	1	4.41
Albania	01997010-5587-7010-81ee-66e793de99ba	Unlimited Plus Data For 1Day in Albania, Throttled	Unlimited	1	8.2
Albania	01997010-1939-735a-aa80-615e5f213c7c	Unlimited Data For 3Day in Albania, Throttled	Unlimited	3	11.61
Albania	01997010-1951-7197-ab9c-39d971e24e74	Unlimited Data For 5Day in Albania, Throttled	Unlimited	5	18.31
Albania	01997010-5599-7382-a53f-0b31ab88fa4f	Unlimited Plus Data For 3Day in Albania, Throttled	Unlimited	3	22.62
Albania	01997010-1969-7239-bcdd-c932edeada20	Unlimited Data For 7Day in Albania, Throttled	Unlimited	7	25.4
Albania	01997010-197f-73ba-a7dc-7541f2082c87	Unlimited Data For 10Day in Albania, Throttled	Unlimited	10	34.75
Albania	01997010-55ab-73c8-aeef-17d3a3081e4e	Unlimited Plus Data For 5Day in Albania, Throttled	Unlimited	5	36.03
Albania	01997010-1994-72b2-b68c-755301db3539	Unlimited Data For 15Day in Albania, Throttled	Unlimited	15	49.93
Albania	01997010-55bd-7272-b24a-3eaeab3a33e7	Unlimited Plus Data For 7Day in Albania, Throttled	Unlimited	7	50.2
